time,V(vo),I(Rd)
Step Information: X=1  (Run: 1/1000),,
0.00E+00,4.58E+00,2.23E-03
1.97E-03,4.58E+00,2.23E-03
2.00E-03,4.58E+00,2.23E-03
2.00E-03,4.58E+00,2.23E-03
Step Information: X=2  (Run: 2/1000),,
0.00E+00,4.35E+00,2.33E-03
1.96E-03,4.35E+00,2.33E-03
2.00E-03,4.35E+00,2.33E-03
2.00E-03,4.35E+00,2.33E-03
Step Information: X=3  (Run: 3/1000),,
0.00E+00,4.71E+00,2.16E-03
1.96E-03,4.71E+00,2.16E-03
2.00E-03,4.71E+00,2.16E-03
2.00E-03,4.71E+00,2.16E-03
Step Information: X=4  (Run: 4/1000),,
0.00E+00,4.82E+00,2.11E-03
1.96E-03,4.82E+00,2.11E-03
2.00E-03,4.82E+00,2.11E-03
2.00E-03,4.82E+00,2.11E-03
Step Information: X=5  (Run: 5/1000),,
0.00E+00,5.38E+00,1.79E-03
1.96E-03,5.38E+00,1.79E-03
2.00E-03,5.38E+00,1.79E-03
2.00E-03,5.38E+00,1.79E-03
Step Information: X=6  (Run: 6/1000),,
0.00E+00,4.47E+00,2.27E-03
1.96E-03,4.47E+00,2.27E-03
2.00E-03,4.47E+00,2.27E-03
2.00E-03,4.47E+00,2.27E-03
Step Information: X=7  (Run: 7/1000),,
0.00E+00,5.18E+00,1.92E-03
1.96E-03,5.18E+00,1.92E-03
2.00E-03,5.18E+00,1.92E-03
2.00E-03,5.18E+00,1.92E-03
Step Information: X=8  (Run: 8/1000),,
0.00E+00,4.65E+00,2.17E-03
1.96E-03,4.65E+00,2.17E-03
2.00E-03,4.65E+00,2.17E-03
2.00E-03,4.65E+00,2.17E-03
Step Information: X=9  (Run: 9/1000),,
0.00E+00,4.46E+00,2.25E-03
1.96E-03,4.46E+00,2.25E-03
2.00E-03,4.46E+00,2.25E-03
2.00E-03,4.46E+00,2.25E-03
Step Information: X=10  (Run: 10/1000),,
0.00E+00,4.86E+00,2.09E-03
1.96E-03,4.86E+00,2.09E-03
2.00E-03,4.86E+00,2.09E-03
2.00E-03,4.86E+00,2.09E-03
Step Information: X=11  (Run: 11/1000),,
0.00E+00,4.45E+00,2.26E-03
1.96E-03,4.45E+00,2.26E-03
2.00E-03,4.45E+00,2.26E-03
2.00E-03,4.45E+00,2.26E-03
Step Information: X=12  (Run: 12/1000),,
0.00E+00,5.33E+00,1.84E-03
1.96E-03,5.33E+00,1.84E-03
2.00E-03,5.33E+00,1.84E-03
2.00E-03,5.33E+00,1.84E-03
Step Information: X=13  (Run: 13/1000),,
0.00E+00,5.32E+00,1.84E-03
1.96E-03,5.32E+00,1.84E-03
2.00E-03,5.32E+00,1.84E-03
2.00E-03,5.32E+00,1.84E-03
Step Information: X=14  (Run: 14/1000),,
0.00E+00,4.38E+00,2.29E-03
1.96E-03,4.38E+00,2.29E-03
2.00E-03,4.38E+00,2.29E-03
2.00E-03,4.38E+00,2.29E-03
Step Information: X=15  (Run: 15/1000),,
0.00E+00,4.37E+00,2.30E-03
1.96E-03,4.37E+00,2.30E-03
2.00E-03,4.37E+00,2.30E-03
2.00E-03,4.37E+00,2.30E-03
Step Information: X=16  (Run: 16/1000),,
0.00E+00,4.93E+00,2.04E-03
1.96E-03,4.93E+00,2.04E-03
2.00E-03,4.93E+00,2.04E-03
2.00E-03,4.93E+00,2.04E-03
Step Information: X=17  (Run: 17/1000),,
0.00E+00,4.42E+00,2.28E-03
1.96E-03,4.42E+00,2.28E-03
2.00E-03,4.42E+00,2.28E-03
2.00E-03,4.42E+00,2.28E-03
Step Information: X=18  (Run: 18/1000),,
0.00E+00,4.37E+00,2.32E-03
1.96E-03,4.37E+00,2.32E-03
2.00E-03,4.37E+00,2.32E-03
2.00E-03,4.37E+00,2.32E-03
Step Information: X=19  (Run: 19/1000),,
0.00E+00,4.85E+00,2.07E-03
1.96E-03,4.85E+00,2.07E-03
2.00E-03,4.85E+00,2.07E-03
2.00E-03,4.85E+00,2.07E-03
Step Information: X=20  (Run: 20/1000),,
0.00E+00,4.56E+00,2.21E-03
1.96E-03,4.56E+00,2.21E-03
2.00E-03,4.56E+00,2.21E-03
2.00E-03,4.56E+00,2.21E-03
Step Information: X=21  (Run: 21/1000),,
0.00E+00,4.59E+00,2.22E-03
1.96E-03,4.59E+00,2.22E-03
2.00E-03,4.59E+00,2.22E-03
2.00E-03,4.59E+00,2.22E-03
Step Information: X=22  (Run: 22/1000),,
0.00E+00,4.52E+00,2.25E-03
1.96E-03,4.52E+00,2.25E-03
2.00E-03,4.52E+00,2.25E-03
2.00E-03,4.52E+00,2.25E-03
Step Information: X=23  (Run: 23/1000),,
0.00E+00,4.84E+00,2.09E-03
1.96E-03,4.84E+00,2.09E-03
2.00E-03,4.84E+00,2.09E-03
2.00E-03,4.84E+00,2.09E-03
Step Information: X=24  (Run: 24/1000),,
0.00E+00,4.55E+00,2.24E-03
1.96E-03,4.55E+00,2.24E-03
2.00E-03,4.55E+00,2.24E-03
2.00E-03,4.55E+00,2.24E-03
Step Information: X=25  (Run: 25/1000),,
0.00E+00,4.42E+00,2.28E-03
1.96E-03,4.42E+00,2.28E-03
2.00E-03,4.42E+00,2.28E-03
2.00E-03,4.42E+00,2.28E-03
Step Information: X=26  (Run: 26/1000),,
0.00E+00,4.58E+00,2.20E-03
1.96E-03,4.58E+00,2.20E-03
2.00E-03,4.58E+00,2.20E-03
2.00E-03,4.58E+00,2.20E-03
Step Information: X=27  (Run: 27/1000),,
0.00E+00,4.48E+00,2.25E-03
1.96E-03,4.48E+00,2.25E-03
2.00E-03,4.48E+00,2.25E-03
2.00E-03,4.48E+00,2.25E-03
Step Information: X=28  (Run: 28/1000),,
0.00E+00,4.66E+00,2.19E-03
1.96E-03,4.66E+00,2.19E-03
2.00E-03,4.66E+00,2.19E-03
2.00E-03,4.66E+00,2.19E-03
Step Information: X=29  (Run: 29/1000),,
0.00E+00,4.46E+00,2.27E-03
1.96E-03,4.46E+00,2.27E-03
2.00E-03,4.46E+00,2.27E-03
2.00E-03,4.46E+00,2.27E-03
Step Information: X=30  (Run: 30/1000),,
0.00E+00,4.60E+00,2.21E-03
1.96E-03,4.60E+00,2.21E-03
2.00E-03,4.60E+00,2.21E-03
2.00E-03,4.60E+00,2.21E-03
Step Information: X=31  (Run: 31/1000),,
0.00E+00,4.52E+00,2.26E-03
1.96E-03,4.52E+00,2.26E-03
2.00E-03,4.52E+00,2.26E-03
2.00E-03,4.52E+00,2.26E-03
Step Information: X=32  (Run: 32/1000),,
0.00E+00,5.02E+00,1.97E-03
1.96E-03,5.02E+00,1.97E-03
2.00E-03,5.02E+00,1.97E-03
2.00E-03,5.02E+00,1.97E-03
Step Information: X=33  (Run: 33/1000),,
0.00E+00,4.35E+00,2.32E-03
1.96E-03,4.35E+00,2.32E-03
2.00E-03,4.35E+00,2.32E-03
2.00E-03,4.35E+00,2.32E-03
Step Information: X=34  (Run: 34/1000),,
0.00E+00,4.48E+00,2.27E-03
1.96E-03,4.48E+00,2.27E-03
2.00E-03,4.48E+00,2.27E-03
2.00E-03,4.48E+00,2.27E-03
Step Information: X=35  (Run: 35/1000),,
0.00E+00,4.98E+00,2.02E-03
1.96E-03,4.98E+00,2.02E-03
2.00E-03,4.98E+00,2.02E-03
2.00E-03,4.98E+00,2.02E-03
Step Information: X=36  (Run: 36/1000),,
0.00E+00,4.40E+00,2.29E-03
1.96E-03,4.40E+00,2.29E-03
2.00E-03,4.40E+00,2.29E-03
2.00E-03,4.40E+00,2.29E-03
Step Information: X=37  (Run: 37/1000),,
0.00E+00,4.38E+00,2.32E-03
1.96E-03,4.38E+00,2.32E-03
2.00E-03,4.38E+00,2.32E-03
2.00E-03,4.38E+00,2.32E-03
Step Information: X=38  (Run: 38/1000),,
0.00E+00,5.36E+00,1.81E-03
1.96E-03,5.36E+00,1.81E-03
2.00E-03,5.36E+00,1.81E-03
2.00E-03,5.36E+00,1.81E-03
Step Information: X=39  (Run: 39/1000),,
0.00E+00,4.50E+00,2.27E-03
1.96E-03,4.50E+00,2.27E-03
2.00E-03,4.50E+00,2.27E-03
2.00E-03,4.50E+00,2.27E-03
Step Information: X=40  (Run: 40/1000),,
0.00E+00,4.75E+00,2.14E-03
1.96E-03,4.75E+00,2.14E-03
2.00E-03,4.75E+00,2.14E-03
2.00E-03,4.75E+00,2.14E-03
Step Information: X=41  (Run: 41/1000),,
0.00E+00,4.40E+00,2.30E-03
1.96E-03,4.40E+00,2.30E-03
2.00E-03,4.40E+00,2.30E-03
2.00E-03,4.40E+00,2.30E-03
Step Information: X=42  (Run: 42/1000),,
0.00E+00,4.32E+00,2.36E-03
1.96E-03,4.32E+00,2.36E-03
2.00E-03,4.32E+00,2.36E-03
2.00E-03,4.32E+00,2.36E-03
Step Information: X=43  (Run: 43/1000),,
0.00E+00,4.62E+00,2.20E-03
1.96E-03,4.62E+00,2.20E-03
2.00E-03,4.62E+00,2.20E-03
2.00E-03,4.62E+00,2.20E-03
Step Information: X=44  (Run: 44/1000),,
0.00E+00,4.40E+00,2.28E-03
1.96E-03,4.40E+00,2.28E-03
2.00E-03,4.40E+00,2.28E-03
2.00E-03,4.40E+00,2.28E-03
Step Information: X=45  (Run: 45/1000),,
0.00E+00,4.58E+00,2.19E-03
1.96E-03,4.58E+00,2.19E-03
2.00E-03,4.58E+00,2.19E-03
2.00E-03,4.58E+00,2.19E-03
Step Information: X=46  (Run: 46/1000),,
0.00E+00,4.47E+00,2.25E-03
1.96E-03,4.47E+00,2.25E-03
2.00E-03,4.47E+00,2.25E-03
2.00E-03,4.47E+00,2.25E-03
Step Information: X=47  (Run: 47/1000),,
0.00E+00,4.35E+00,2.33E-03
1.96E-03,4.35E+00,2.33E-03
2.00E-03,4.35E+00,2.33E-03
